level,code,terrain,game_mode,player_powers,enemy_powers,speed,strategic_side,outcome,ticks,seconds,blue_population,red_population,blue_living_population,red_living_population,blue_mana,red_mana,blue_castles,red_castles,blue_peak_castles,red_peak_castles,blue_towns,red_towns,blue_action_markers,red_action_markers,blue_alive_slots,red_alive_slots,dead_slots,ruins,slots,war_tick,first_offense_tick,last_offense_tick,both_quakes,both_volcanoes,both_floods,both_knights,both_wars,blue_initial_population,red_initial_population,blue_initial_mana,red_initial_mana,state_hash,blue_exact_quakes,red_exact_quakes,blue_exact_swamps,red_exact_swamps,blue_exact_knights,red_exact_knights,blue_exact_volcanoes,red_exact_volcanoes,blue_exact_floods,red_exact_floods,blue_exact_wars,red_exact_wars,blue_unclassified_power_score,red_unclassified_power_score,blue_actual_towns,red_actual_towns,blue_actual_castles,red_actual_castles,blue_actual_knights,red_actual_knights,blue_actual_battles_won,red_actual_battles_won,blue_peak_actual_population,red_peak_actual_population,blue_peak_actual_towns,red_peak_actual_towns,blue_peak_actual_castles,red_peak_actual_castles,blue_peak_actual_knights,red_peak_actual_knights,blue_peak_actual_battles_won,red_peak_actual_battles_won
448,SHIINING,3,16,63,5,10,0,win,6380,797.500,9587,0,9587,0,5233,-250,0,0,9,5,0,0,592,921,1,0,58,0,59,6141,421,6141,31,0,0,2,1,45,585,399,2700,7b501bd6d544d30add0208a83a0490b8cef6561869ad732ccf2f90c298d04c40,13,18,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119,30,30945,24561,30,66,9,5,1,0,119,30
448,SHIINING,3,16,63,5,10,1,ongoing,9600,1200.000,91,147305,91,147305,4028,91047,0,5,2,5,1,141,1108,469,1,207,0,0,208,0,471,8401,33,0,0,3,0,45,585,399,2700,ea5fe2ccbf710b65405c3bbf8769ffc06026a8d5a5114db9cd4f5bd046f0fe66,0,33,0,0,2,1,0,0,0,0,0,0,0,0,1,141,0,5,0,1,182,115,20019,147305,37,144,2,5,2,1,182,115
449,HURTSODORD,3,16,63,5,10,0,win,7386,923.250,47827,0,47827,0,64559,890,9,0,9,3,105,0,709,808,174,0,10,0,184,0,581,6521,31,0,0,3,0,45,585,399,2700,9c4fb1ee1905de74f5cdc23d91fc15baee9c0b07c5cc6157d9cd9e1866ad5a7e,5,26,0,0,1,2,0,0,0,0,0,0,0,0,105,0,9,0,1,0,84,199,47919,13854,108,38,9,3,1,2,84,199
449,HURTSODORD,3,16,63,5,10,1,win,5065,633.125,0,85239,0,85239,517,17720,0,5,1,5,0,138,573,487,0,207,1,0,208,0,331,4591,30,0,0,2,0,45,585,399,2700,9e57bada32b1d7a13daeea24bd1e701543c48efd76d58c7026b744658ef1eaf7,1,29,0,0,1,1,0,0,0,0,0,0,0,0,0,138,0,5,0,1,68,29,9609,85277,27,140,1,5,1,1,68,29
450,JOSYMAR,1,18,61,36,1,0,loss,4012,501.500,1,59108,0,59108,-250,39964,0,36,3,36,0,10,0,0,0,63,24,1,88,0,1372,3675,0,0,0,6,0,90,675,399,2700,9083f13fcfebeda0c9da9bd99314fe659a60210f91d9afb4ad6fb5168ff2353e,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,35,0,1,0,69,4489,59204,28,16,3,36,0,4,0,69
450,JOSYMAR,1,18,61,36,1,1,loss,8836,1104.500,123647,1,123647,0,4389,-250,60,0,60,11,2,0,0,0,80,0,50,1,131,0,2273,8737,21,9,0,20,0,90,675,399,2700,bce6ae822ed6b073a300003bdb680023568fd91327bb512ff71e4d7cb25728a6,21,0,0,0,16,4,9,0,0,0,0,0,0,0,2,0,60,0,1,0,276,18,128367,29910,10,68,60,11,5,1,276,18
451,TIMOXLUG,1,18,61,36,1,0,loss,2181,272.625,1,29691,0,29691,-250,16681,0,28,3,28,0,16,0,0,0,58,2,1,61,0,1222,1640,0,0,0,2,0,90,675,399,2700,b027528937651ebd9e815f578594e506025c42735ef897568b0c38dd79121575,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,28,0,1,1,4,3656,29865,3,16,3,28,0,2,1,4
451,TIMOXLUG,1,18,61,36,1,1,win,5109,638.625,0,31140,0,31140,-250,28182,0,0,31,26,0,0,0,0,0,2,108,0,110,4878,2121,4878,4,1,0,4,1,90,675,399,2700,7d196cf1f1b377db36cd8a480dccc1927d4ce67cf8df80babb13943e5defbdfb,4,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,34,40,32680,83709,11,69,31,26,1,1,34,40
452,CALEAHILL,1,18,61,36,1,0,win,5439,679.875,2029,0,2029,0,2848,-250,0,0,23,47,0,0,0,0,1,0,106,0,107,5197,1364,5197,6,0,0,11,1,90,675,399,2700,abe05065bc30f8aee82c37da56525de35e0f2fb5b1533639c08624c1d459838c,6,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,134,45050,76437,37,12,23,47,0,5,7,134
452,CALEAHILL,1,18,61,36,1,1,ongoing,9600,1200.000,78674,42659,78674,42659,929,51619,30,20,35,21,6,51,0,0,54,86,17,0,157,0,2049,9585,11,11,0,20,0,90,675,399,2700,0214de42870ae70f46bcb131a521a807b9834dd8bb99bd12bd5524ed3536fcd0,11,0,0,0,13,7,11,0,0,0,0,0,0,0,6,53,30,20,2,0,163,30,84950,42659,13,74,35,21,3,1,163,30
453,SCOIKEMET,1,18,61,36,1,0,loss,1666,208.250,1,21164,0,21164,-250,11078,0,26,3,26,0,4,0,0,0,43,0,1,44,0,1323,1564,0,0,0,2,0,90,675,399,2700,afc4f6bd9d9ed4bfb43cc5d6c1e860a209d62fc8f00ad8989892cd184ca8c675,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,26,0,1,0,7,2365,21238,4,11,3,26,0,2,0,7
453,SCOIKEMET,1,18,61,36,1,1,win,1743,217.875,0,15802,0,15802,23,8715,0,10,1,10,0,30,0,0,0,47,10,0,57,0,0,0,0,0,0,0,0,90,675,399,2700,e5d2909eafc20f521b3c617dd03f46da1e2b948d715bec8b760c000cb196d2af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,1,478,15850,4,38,1,10,0,0,0,1
454,SWAOGOED,1,18,61,36,1,0,loss,2093,261.625,1,24323,0,24323,536,7979,0,23,1,23,0,4,0,0,0,36,2,1,39,0,1419,1793,0,0,0,2,0,90,675,399,2700,2e04b59843a7b3c30ff68ce57199f7b1c71abec4beba7bd635c263e4ff329f30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,23,0,2,0,1,2613,26755,2,10,1,23,0,2,0,1
454,SWAOGOED,1,18,61,36,1,1,loss,9248,1156.000,172450,0,172450,0,6683,-250,57,0,57,13,2,0,0,0,83,0,50,0,133,0,1897,9086,0,12,0,25,0,90,675,399,2700,568bf0b78828491992558b21f4f16ec7634a00439fc94c6303cac8abea08040c,0,0,0,0,24,1,12,0,0,0,0,0,0,0,2,0,57,0,4,0,315,7,172450,26640,8,67,57,13,5,1,315,7
455,KILLUING,0,16,59,34,1,0,loss,2018,252.250,0,18948,0,18948,-250,4278,0,0,4,34,0,0,0,0,0,1,86,0,87,1713,1713,1713,0,0,0,0,1,135,630,399,2700,dbcc25f10f0eaf31392a17e36896d136044b611294ab94d89ea1dfd0065a1855,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6330,25401,22,12,4,34,0,0,0,1
